"REF_DATE","GEO","DGUID","Base year","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2017","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","1.16","","","","2"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.15","","","","2"
"2017","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","0.72","","","","2"
"2017","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","1.02","","","","2"
"2017","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.45","","","","2"
"2017","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.52","","","","2"
"2017","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.30","","","","2"
"2017","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","5.33","","","","2"
"2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.78","","","","2"
"2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","4.42","","","","2"
"2017","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","2.44","","","","2"
"2017","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","25.49","","","","2"
"2017","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.85","","","","2"
"2017","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","1.56","","","","2"
"2017","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","1.75","","","","2"
"2017","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.60","","","","2"
"2017","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.14","","","","2"
"2017","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.15","","","","2"
"2017","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.32","","","","2"
"2017","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.73","","","","2"
"2017","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","1.25","","","","2"
"2017","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","2.23","","","","2"
"2017","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","11.56","","","","2"
"2017","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","13.09","","","","2"
"2017","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.54","","","","2"
"2017","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","12.28","","","","2"
"2017","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.18","","","","2"
"2018","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2018","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.87","","","","2"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.18","","","","2"
"2018","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","0.71","","","","2"
"2018","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.87","","","","2"
"2018","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.34","","","","2"
"2018","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.47","","","","2"
"2018","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.25","","","","2"
"2018","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","5.16","","","","2"
"2018","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.67","","","","2"
"2018","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","4.65","","","","2"
"2018","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","2.51","","","","2"
"2018","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","27.91","","","","2"
